ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Czas ostatniej modyfikacji,Na jakim poziomie stanowiska pracujesz w Legii Warszawa,Jaki jest Twój staż pracy w Legii,"Kiedy myślisz „sztuczna inteligencja”, „AI”, jakie są Twoje pierwsze skojarzenia? Zapisz słowa, hasła, które przychodzą Ci go głowy","Generatory tekstu (np. ChatGPT, Gemini, Grok, Perplexity) ","Generatory obrazów (np. Midjourney, DALL-E, Sora) ","Asystenci głosowi (np. Siri, Asystent Google) ","Asystenci spotkań (narzędzia podsumowujące spotkania online Teams, Google, Fireflies) ","Czy korzystasz obecnie z narzędzi opartych na sztucznej inteligencji/ AI?
","Jak często używasz narzędzi opartych na AI?
","Do czego wykorzystujesz AI? Wskaż wszystkie opcje, z których korzystasz:
","Jak oceniasz obsługę znanych Ci narzędzi AI na bazie swoich doświadczeń?
","Czy widzisz realną potrzebę wykorzystania rozwiązań AI w swojej codziennej pracy?
","Jakie są Twoje odczucia wobec możliwości wykorzystywania AI w Twoim miejscu pracy, na Twoim stanowisku?
","Poniżej wskazano potencjalne korzyści z wykorzystania AI w miejscu pracy. Uszereguj je od najbardziej do najmniej przydatnego w Twojej pracy
","Brak wiedzy i umiejętności – nie wiem, jak efektywnie wykorzystywać AI w mojej pracy ",Brak dostępu – klub nie zapewnia narzędzi AI przydatnych w mojej pracy ,"Brak wytycznych – nie mam jasności, jak bezpiecznie i etycznie używać AI  ","Wątpliwości – obawiam się o bezpieczeństwo danych i wiarygodność informacji, które podaje AI ",Brak czasu – obowiązki nie pozwalają mi na wdrażanie nowych narzędzi ,Brak potrzeby – na moim stanowisku wsparcie AI jest zbędne ,"Czego chciał_byś się dowiedzieć, nauczyć, aby korzystać z AI w pracy w efektywny sposób?

","Czy dotychczas korzystał_ś z jakichś usług/ produktów uzupełniających wiedzę, podnoszących kompetencje w obszarze sztucznej inteligencji/ AI?
"
1,10/17/25 14:00:32,10/17/25 14:03:53,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 3 do 6 lat,czat gpt ,Korzystam obecnie,Nigdy nie korzystał_m ,Korzystał_m kiedyś,Nigdy nie korzystał_m ,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Wyszukiwanie i podsumowywanie informacji;",5,Tak,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;",Raczej się nie zgadzam ,Zdecydowanie się zgadzam ,Zdecydowanie się nie zgadzam ,Neutralnie,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,generowania grafik etc,Nie korzystał_m z żadnych usług/ produktów;
2,10/17/25 14:01:32,10/17/25 14:04:25,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 1 do 3 lat,"Coś, co nie jest potrzebne i zabija kreatywność",Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nie korzystam z narzędzi opartych na sztucznej inteligencji,,,,Nie,"Obawiam się, że AI może w przyszłości zastąpić moje stanowisko i pozbawić mnie pracy.","Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Efektywność – szybsza realizacja codziennych zadań. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;",Neutralnie,Neutralnie,Neutralnie,Zdecydowanie się zgadzam ,Neutralnie,Zdecydowanie się zgadzam ,,Nie korzystał_m z żadnych usług/ produktów;
3,10/17/25 14:01:01,10/17/25 14:04:41,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",więcej niż 6 lat,bardzo pomocne narzędzie,Korzystam obecnie,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;",5,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Efektywność – szybsza realizacja codziennych zadań. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;",Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,jeszcze lepszego korzystania,"Tak, brał_m udział w kursach/szkoleniach;"
4,10/17/25 14:01:15,10/17/25 14:05:17,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 6 miesięcy do 1 roku,"ułatwienie, szybkość",Korzystam obecnie,Nigdy nie korzystał_m ,Korzystał_m kiedyś,Nigdy nie korzystał_m ,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Wyszukiwanie i podsumowywanie informacji;",5,Tak,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Efektywność – szybsza realizacja codziennych zadań. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Neutralnie,Neutralnie,Raczej się zgadzam ,Neutralnie,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,,"Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
5,10/17/25 14:00:47,10/17/25 14:05:38,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",do 6 miesięcy,Pomoc,Korzystam obecnie,Nigdy nie korzystał_m ,Korzystam obecnie,Nigdy nie korzystał_m ,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Wyszukiwanie i podsumowywanie informacji;",5,Nie,"Nie ma to dla mnie znaczenia, nie wydaje mi się, aby AI wpływało na moją obecną pracę.","Efektywność – szybsza realizacja codziennych zadań. ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Raczej się nie zgadzam ,Raczej się nie zgadzam ,Raczej się nie zgadzam ,Raczej się nie zgadzam ,Raczej się nie zgadzam ,Raczej się zgadzam ,,Nie korzystał_m z żadnych usług/ produktów;
6,10/17/25 14:00:54,10/17/25 14:06:06,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",do 6 miesięcy,Wiedza,Korzystam obecnie,Nigdy nie korzystał_m ,Korzystam obecnie,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Wyszukiwanie i podsumowywanie informacji;",5,Nie,"Nie ma to dla mnie znaczenia, nie wydaje mi się, aby AI wpływało na moją obecną pracę.","Efektywność – szybsza realizacja codziennych zadań. ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Zdecydowanie się nie zgadzam ,Neutralnie,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Neutralnie,,Nie korzystał_m z żadnych usług/ produktów;
7,10/17/25 14:00:38,10/17/25 14:06:38,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",od 1 do 3 lat,chat gpt,Korzystam obecnie,Nigdy nie korzystał_m ,Korzystam obecnie,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Wyszukiwanie i podsumowywanie informacji;",4,Tak,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Efektywność – szybsza realizacja codziennych zadań. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Raczej się nie zgadzam ,Raczej się zgadzam ,Zdecydowanie się zgadzam ,Raczej się zgadzam ,Neutralnie,Neutralnie,jak korzystać z narzędzi AI,Nie korzystał_m z żadnych usług/ produktów;
8,10/17/25 14:01:21,10/17/25 14:07:38,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",więcej niż 6 lat,"przerażające, ciekawe, brak zaufania",Korzystam obecnie,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Korzystam obecnie,"Tak, tylko w życiu prywatnym",Kilka razy w miesiącu,Wyszukiwanie i podsumowywanie informacji;,3,Nie,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Efektywność – szybsza realizacja codziennych zadań. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Raczej się nie zgadzam ,Zdecydowanie się zgadzam ,Neutralnie,Zdecydowanie się zgadzam ,Neutralnie,Raczej się zgadzam ,,Nie korzystał_m z żadnych usług/ produktów;
9,10/17/25 14:03:59,10/17/25 14:08:24,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 6 miesięcy do 1 roku,"Ułatwienie, przyśpieszenie, wsparcie",Korzystam obecnie,Nigdy nie korzystał_m ,Korzystam obecnie,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;Redagowanie maili, udzielanie odpowiedzi na różne pytania;",4,Tak,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Raczej się nie zgadzam ,Raczej się zgadzam ,Neutralnie,Neutralnie,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,"Przede wszystkim ciekawych narzędzi, które pozwalają na pracę z klientem i usprawniające moją pracę","Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
10,10/17/25 14:01:43,10/17/25 14:10:48,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 3 do 6 lat,"Teraźniejszość, przyszłość, możliwości, optymalizacja",Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;Grafiki, wideo, muzyka;",5,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Efektywność – szybsza realizacja codziennych zadań. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Zdecydowanie się nie zgadzam ,Raczej się zgadzam ,Zdecydowanie się zgadzam ,Raczej się nie zgadzam ,Zdecydowanie się zgadzam ,Zdecydowanie się zgadzam ,Poświęcam na naukę AI wiele godzin dziennie.,"Tak, brał_m udział w kursach/szkoleniach;Tak, czytał_m książki/ publikacje naukowe;Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
